PostalCode,PhoneAreaCode
1082 MD,020
10117,30
52078,0241
BD233BB,01234
PH88JX,01234
BA122QR,01234
NR134RY,01234
MK465SB,01234
IM71ER,01234
NG155PL,01234
SP54WZ,01234
SP55GW,01234
SA181PH,01234
LE26AQ,01234
S751DL,01234
PL203TF,01234
DL179ZR,01234
TD96YS,01234
SK176ES,01234
SA441EZ,01234
NE172LH,01234
W1B8TA,01234
PH11XX,01234
FK187GX,01234
HG36YR,01234
GU38WY,01234
BN87QY,01234
LN98RT,01234
ML24EU,01234
SP30YY,01234
BS127AD,01234
YO414YF,01234
LU79HS,01234
AB450FE,01234
PH175FZ,01234
IV306NR,01234
HD79BR,01234
SK119ZD,01234
GL27HF,01234
DL107AH,01234
BD245QN,01234
CA78BH,01234
LN48WQ,01234
TS274QP,01234
SO313EW,01234
TQ34PZ,01234
TF98HE,01234
SA640ZY,01234
PA713PF,01234
TA46WY,01234
DG130PD,01234
KA186LB,01234
KW178QW,01234
CA52YX,01234
EH178ZZ,01234
SA386XJ,01234
WR101LF,01234
OX92ZT,01234
RH18WU,01234
LA67SB,01234
GL128WU,01234
SO213YE,01234
BA51QD,01234
SY85BX,01234
NR46UW,01234
AL33LN,01234
LN48BN,01234
SY106JQ,01234
GL559WX,01234
LD50ZJ,01234
GL81ZF,01234
CM63WU,01234
AB549AR,01234
SW63PZ,01234
NE244XW,01234
AB373ZP,01234
FK28TG,01234
DN108EP,01234
AB545UU,01234
JE30NY,01234
CT45FU,01234
TS123NH,01234
KW10ZT,01234
BL69ES,01234
G713PY,01234
AB411HD,01234
GU272SS,01234
S649UZ,01234
PO180PS,01234
BN14JB,01234
M257JH,01234
CA112YD,01234
TN265QL,01234
YO76ZQ,01234
ZE20XT,01234
CF621NJ,01234
TR24SU,01234
NR98JY,01234
PA417RQ,01234
AL54GD,01234
PE232JP,01234
AB542EY,01234
S803UA,01234
LL650JP,01234
DH87EQ,01234
PO176XJ,01234
TR127WZ,01234
PH113EJ,01234
TR124DS,01234
SG175PL,01234
BD231YB,01234
CT153ST,01234
LE168DT,01234
PO205FU,01234
DE79SJ,01234
ST75PA,01234
PH372AU,01234
HP160ZX,01234
LD34ZF,01234
DT98RZ,01234
ZE24TD,01234
BH213QS,01234
YO42US,01234
SY214NA,01234
WR92UW,01234
DE73QF,01234
ME132PN,01234
BN156JQ,01234
OX62LN,01234
B378JE,01234
IV518LP,01234
AB530YD,01234
PR60RT,01234
PR88FL,01234
OX78DF,01234
BA128EH,01234
SP38AA,01234
WA167BZ,01234
PL92GE,01234
YO28HZ,01234
SA407PN,01234
IV278HT,01234
SO244PN,01234
GL188RZ,01234
DH96YD,01234
SY208RZ,01234
S662AE,01234
NE476GT,01234
HR16BF,01234
SP118NR,01234
IV126GH,01234
SP115TQ,01234
NE222LG,01234
EX376GS,01234
NN72DD,01234
SP62AG,01234
ME102LY,01234
MK189DT,01234
RG204UB,01234
SY52EZ,01234
SW170HG,01234
GL120ZX,01234
TA53LY,01234
DD101DW,01234
IM73RU,01234
HS71AH,01234
TQ125BN,01234
DH42ZW,01234
DD113DX,01234
SA33AU,01234
ME170PW,01234
DG79SD,01234
CF625WN,01234
